Feature ,Leaf id,Y = 0,Y = 1,Y = 2,Y = 3,Y = 4,Y = 5,Y = 6,Y = 7,Y = 8,Y = 9,Y = 10,Y = 11,Y = 12,Y = 13,Y = 14,Y = 15,Y = 16,Y = 17,Y = 18,Y = 19,Y = 20,Y = 21,Y = 22,Y = 23,Y = 24,Y = 25, Preferred Class, P(Y) = 0,P(Y) = 1,P(Y) = 2,P(Y) = 3,P(Y) = 4,P(Y) = 5,P(Y) = 6,P(Y) = 7,P(Y) = 8,P(Y) = 9,P(Y) = 10,P(Y) = 11,P(Y) = 12,P(Y) = 13,P(Y) = 14,P(Y) = 15,P(Y) = 16,P(Y) = 17,P(Y) = 18,P(Y) = 19,P(Y) = 20,P(Y) = 21,P(Y) = 22,P(Y) = 23,P(Y) = 24,P(Y) = 25,
14,1,786.0,766.0,551.0,805.0,734.0,425.0,768.0,687.0,755.0,740.0,629.0,755.0,577.0,728.0,750.0,772.0,721.0,758.0,732.0,188.0,272.0,99.0,376.0,709.0,137.0,722.0,3,0.049,0.048,0.035,0.05,0.046,0.027,0.048,0.043,0.047,0.046,0.039,0.047,0.036,0.046,0.047,0.048,0.045,0.048,0.046,0.012,0.017,0.006,0.024,0.044,0.009,0.045,
14,2,3.0,0.0,185.0,0.0,34.0,350.0,5.0,47.0,0.0,7.0,110.0,6.0,215.0,55.0,3.0,31.0,62.0,0.0,16.0,608.0,541.0,665.0,376.0,78.0,649.0,12.0,21,0.001,0.0,0.046,0.0,0.008,0.086,0.001,0.012,0.0,0.002,0.027,0.001,0.053,0.014,0.001,0.008,0.015,0.0,0.004,0.15,0.133,0.164,0.093,0.019,0.16,0.003,
14,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15,1,654.0,30.0,0.0,82.0,2.0,1.0,13.0,59.0,31.0,152.0,74.0,585.0,58.0,68.0,18.0,19.0,46.0,167.0,76.0,0.0,0.0,0.0,0.0,53.0,0.0,43.0,0,0.293,0.013,0.0,0.037,0.001,0.0,0.006,0.026,0.014,0.068,0.033,0.262,0.026,0.03,0.008,0.009,0.021,0.075,0.034,0.0,0.0,0.0,0.0,0.024,0.0,0.019,
15,2,135.0,736.0,736.0,723.0,766.0,774.0,760.0,675.0,724.0,595.0,665.0,176.0,734.0,715.0,735.0,784.0,737.0,591.0,672.0,796.0,813.0,764.0,752.0,734.0,786.0,691.0,20,0.008,0.041,0.041,0.041,0.043,0.044,0.043,0.038,0.041,0.033,0.037,0.01,0.041,0.04,0.041,0.044,0.041,0.033,0.038,0.045,0.046,0.043,0.042,0.041,0.044,0.039,
15,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,1,667.0,19.0,9.0,50.0,8.0,0.0,69.0,31.0,43.0,280.0,25.0,656.0,104.0,7.0,46.0,10.0,193.0,11.0,85.0,0.0,201.0,13.0,10.0,10.0,36.0,70.0,0,0.251,0.007,0.003,0.019,0.003,0.0,0.026,0.012,0.016,0.106,0.009,0.247,0.039,0.003,0.017,0.004,0.073,0.004,0.032,0.0,0.076,0.005,0.004,0.004,0.014,0.026,
16,2,122.0,747.0,727.0,755.0,760.0,775.0,704.0,703.0,712.0,467.0,714.0,105.0,688.0,776.0,707.0,793.0,590.0,747.0,663.0,796.0,612.0,751.0,742.0,777.0,750.0,664.0,19,0.007,0.043,0.042,0.044,0.044,0.045,0.041,0.041,0.041,0.027,0.041,0.006,0.04,0.045,0.041,0.046,0.034,0.043,0.038,0.046,0.035,0.043,0.043,0.045,0.043,0.038,
16,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,1,227.0,359.0,713.0,416.0,638.0,677.0,590.0,480.0,558.0,104.0,614.0,643.0,390.0,610.0,430.0,600.0,126.0,453.0,242.0,656.0,637.0,552.0,549.0,517.0,517.0,466.0,2,0.018,0.028,0.056,0.033,0.05,0.053,0.046,0.038,0.044,0.008,0.048,0.05,0.031,0.048,0.034,0.047,0.01,0.035,0.019,0.051,0.05,0.043,0.043,0.041,0.041,0.037,
17,2,562.0,407.0,23.0,389.0,130.0,98.0,183.0,254.0,197.0,643.0,125.0,118.0,402.0,173.0,323.0,203.0,657.0,305.0,506.0,140.0,176.0,212.0,203.0,270.0,269.0,268.0,16,0.078,0.056,0.003,0.054,0.018,0.014,0.025,0.035,0.027,0.089,0.017,0.016,0.056,0.024,0.045,0.028,0.091,0.042,0.07,0.019,0.024,0.029,0.028,0.037,0.037,0.037,
17,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18,1,459.0,0.0,0.0,10.0,0.0,0.0,11.0,0.0,2.0,153.0,0.0,308.0,36.0,0.0,0.0,0.0,22.0,0.0,39.0,0.0,10.0,0.0,0.0,0.0,3.0,9.0,0,0.432,0.0,0.0,0.009,0.0,0.0,0.01,0.0,0.002,0.144,0.0,0.29,0.034,0.0,0.0,0.0,0.021,0.0,0.037,0.0,0.009,0.0,0.0,0.0,0.003,0.008,
18,2,330.0,766.0,736.0,795.0,768.0,775.0,762.0,734.0,753.0,594.0,739.0,453.0,756.0,783.0,753.0,803.0,761.0,758.0,709.0,796.0,803.0,764.0,752.0,787.0,783.0,725.0,15,0.017,0.04,0.039,0.042,0.041,0.041,0.04,0.039,0.04,0.031,0.039,0.024,0.04,0.041,0.04,0.042,0.04,0.04,0.037,0.042,0.042,0.04,0.04,0.042,0.041,0.038,
18,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
19,1,120.0,0.0,0.0,1.0,0.0,64.0,0.0,191.0,404.0,530.0,5.0,316.0,269.0,511.0,0.0,0.0,0.0,0.0,0.0,398.0,436.0,544.0,466.0,0.0,257.0,0.0,21,0.027,0.0,0.0,0.0,0.0,0.014,0.0,0.042,0.09,0.117,0.001,0.07,0.06,0.113,0.0,0.0,0.0,0.0,0.0,0.088,0.097,0.121,0.103,0.0,0.057,0.0,
19,2,669.0,766.0,736.0,804.0,768.0,711.0,773.0,543.0,351.0,217.0,734.0,445.0,523.0,272.0,753.0,803.0,783.0,758.0,748.0,398.0,377.0,220.0,286.0,787.0,529.0,734.0,3,0.043,0.049,0.048,0.052,0.05,0.046,0.05,0.035,0.023,0.014,0.047,0.029,0.034,0.018,0.049,0.052,0.051,0.049,0.048,0.026,0.024,0.014,0.018,0.051,0.034,0.047,
19,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
19,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20,1,460.0,43.0,6.0,51.0,3.0,0.0,9.0,27.0,4.0,268.0,83.0,169.0,603.0,4.0,17.0,0.0,51.0,199.0,56.0,8.0,25.0,0.0,1.0,39.0,0.0,26.0,12,0.214,0.02,0.003,0.024,0.001,0.0,0.004,0.013,0.002,0.125,0.039,0.079,0.28,0.002,0.008,0.0,0.024,0.092,0.026,0.004,0.012,0.0,0.0,0.018,0.0,0.012,
20,2,329.0,723.0,730.0,754.0,765.0,775.0,764.0,707.0,751.0,479.0,656.0,592.0,189.0,779.0,736.0,803.0,732.0,559.0,692.0,788.0,788.0,764.0,751.0,748.0,786.0,708.0,15,0.018,0.041,0.041,0.042,0.043,0.043,0.043,0.04,0.042,0.027,0.037,0.033,0.011,0.044,0.041,0.045,0.041,0.031,0.039,0.044,0.044,0.043,0.042,0.042,0.044,0.04,
20,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21,1,646.0,511.0,470.0,517.0,552.0,532.0,487.0,437.0,656.0,599.0,409.0,602.0,360.0,422.0,468.0,497.0,491.0,512.0,484.0,502.0,439.0,472.0,331.0,538.0,479.0,523.0,8,0.05,0.04,0.036,0.04,0.043,0.041,0.038,0.034,0.051,0.046,0.032,0.047,0.028,0.033,0.036,0.038,0.038,0.04,0.037,0.039,0.034,0.036,0.026,0.042,0.037,0.04,
21,2,143.0,255.0,266.0,288.0,216.0,243.0,286.0,297.0,99.0,148.0,330.0,159.0,432.0,361.0,285.0,306.0,292.0,246.0,264.0,294.0,374.0,292.0,421.0,249.0,307.0,211.0,12,0.02,0.036,0.038,0.041,0.031,0.034,0.04,0.042,0.014,0.021,0.047,0.023,0.061,0.051,0.04,0.043,0.041,0.035,0.037,0.042,0.053,0.041,0.06,0.035,0.043,0.03,
21,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22,1,680.0,595.0,670.0,646.0,707.0,704.0,666.0,541.0,748.0,735.0,536.0,712.0,2.0,106.0,628.0,676.0,708.0,571.0,709.0,750.0,638.0,610.0,3.0,754.0,694.0,732.0,23,0.044,0.038,0.043,0.042,0.046,0.045,0.043,0.035,0.048,0.047,0.035,0.046,0.0,0.007,0.04,0.044,0.046,0.037,0.046,0.048,0.041,0.039,0.0,0.049,0.045,0.047,
22,2,109.0,171.0,66.0,159.0,61.0,71.0,107.0,193.0,7.0,12.0,203.0,49.0,790.0,677.0,125.0,127.0,75.0,187.0,39.0,46.0,175.0,154.0,749.0,33.0,92.0,2.0,12,0.024,0.038,0.015,0.035,0.014,0.016,0.024,0.043,0.002,0.003,0.045,0.011,0.176,0.151,0.028,0.028,0.017,0.042,0.009,0.01,0.039,0.034,0.167,0.007,0.021,0.0,
22,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23,1,11.0,0.0,5.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,331.0,28.0,116.0,0.0,0.0,40.0,0.0,25.0,8.0,38.0,21.0,2.0,0.0,32.0,0.0,11,0.017,0.0,0.008,0.003,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.501,0.042,0.175,0.0,0.0,0.061,0.0,0.038,0.012,0.057,0.032,0.003,0.0,0.048,0.0,
23,2,778.0,766.0,731.0,803.0,768.0,775.0,771.0,734.0,755.0,747.0,739.0,430.0,764.0,667.0,753.0,803.0,743.0,758.0,723.0,788.0,775.0,743.0,750.0,787.0,754.0,734.0,3,0.04,0.04,0.038,0.042,0.04,0.04,0.04,0.038,0.039,0.039,0.038,0.022,0.04,0.034,0.039,0.042,0.038,0.039,0.037,0.041,0.04,0.038,0.039,0.041,0.039,0.038,
23,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
24,1,45.0,1.0,30.0,23.0,8.0,0.0,42.0,1.0,0.0,0.0,4.0,349.0,34.0,212.0,5.0,1.0,203.0,7.0,167.0,39.0,78.0,64.0,40.0,35.0,92.0,0.0,11,0.03,0.001,0.02,0.016,0.005,0.0,0.028,0.001,0.0,0.0,0.003,0.236,0.023,0.143,0.003,0.001,0.137,0.005,0.113,0.026,0.053,0.043,0.027,0.024,0.062,0.0,
24,2,744.0,765.0,706.0,782.0,760.0,775.0,731.0,733.0,755.0,747.0,735.0,412.0,758.0,571.0,748.0,802.0,580.0,751.0,581.0,757.0,735.0,700.0,712.0,752.0,694.0,734.0,15,0.04,0.041,0.038,0.042,0.041,0.042,0.039,0.04,0.041,0.04,0.04,0.022,0.041,0.031,0.04,0.043,0.031,0.041,0.031,0.041,0.04,0.038,0.038,0.041,0.037,0.04,
24,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
24,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,1,735.0,766.0,136.0,802.0,526.0,775.0,580.0,731.0,748.0,547.0,433.0,642.0,750.0,762.0,740.0,803.0,668.0,758.0,742.0,796.0,795.0,764.0,752.0,780.0,786.0,731.0,15,0.041,0.042,0.008,0.044,0.029,0.043,0.032,0.041,0.041,0.03,0.024,0.036,0.042,0.042,0.041,0.044,0.037,0.042,0.041,0.044,0.044,0.042,0.042,0.043,0.044,0.041,
25,2,54.0,0.0,600.0,3.0,242.0,0.0,193.0,3.0,7.0,200.0,306.0,119.0,42.0,21.0,13.0,0.0,115.0,0.0,6.0,0.0,18.0,0.0,0.0,7.0,0.0,3.0,2,0.028,0.0,0.307,0.002,0.124,0.0,0.099,0.002,0.004,0.102,0.157,0.061,0.022,0.011,0.007,0.0,0.059,0.0,0.003,0.0,0.009,0.0,0.0,0.004,0.0,0.002,
25,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
26,1,13.0,0.0,365.0,108.0,259.0,403.0,51.0,38.0,8.0,7.0,372.0,380.0,69.0,92.0,18.0,305.0,5.0,108.0,15.0,210.0,282.0,274.0,307.0,66.0,259.0,9.0,5,0.003,0.0,0.091,0.027,0.064,0.1,0.013,0.009,0.002,0.002,0.092,0.094,0.017,0.023,0.004,0.076,0.001,0.027,0.004,0.052,0.07,0.068,0.076,0.016,0.064,0.002,
26,2,776.0,766.0,371.0,697.0,509.0,372.0,722.0,696.0,747.0,740.0,367.0,381.0,723.0,691.0,735.0,498.0,778.0,650.0,733.0,586.0,531.0,490.0,445.0,721.0,527.0,725.0,16,0.049,0.048,0.023,0.044,0.032,0.023,0.045,0.044,0.047,0.046,0.023,0.024,0.045,0.043,0.046,0.031,0.049,0.041,0.046,0.037,0.033,0.031,0.028,0.045,0.033,0.045,
26,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
26,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27,1,703.0,67.0,597.0,619.0,145.0,615.0,342.0,571.0,638.0,601.0,509.0,602.0,698.0,719.0,605.0,634.0,233.0,266.0,109.0,644.0,742.0,696.0,698.0,492.0,607.0,4.0,20,0.053,0.005,0.045,0.047,0.011,0.047,0.026,0.043,0.048,0.046,0.039,0.046,0.053,0.055,0.046,0.048,0.018,0.02,0.008,0.049,0.056,0.053,0.053,0.037,0.046,0.0,
27,2,86.0,699.0,139.0,186.0,623.0,160.0,431.0,163.0,117.0,146.0,230.0,159.0,94.0,64.0,148.0,169.0,550.0,492.0,639.0,152.0,71.0,68.0,54.0,295.0,179.0,730.0,25,0.013,0.102,0.02,0.027,0.091,0.023,0.063,0.024,0.017,0.021,0.034,0.023,0.014,0.009,0.022,0.025,0.08,0.072,0.093,0.022,0.01,0.01,0.008,0.043,0.026,0.107,
27,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28,1,736.0,672.0,707.0,719.0,704.0,706.0,718.0,561.0,743.0,719.0,549.0,737.0,515.0,588.0,715.0,690.0,725.0,666.0,680.0,758.0,691.0,691.0,527.0,634.0,702.0,671.0,19,0.042,0.038,0.04,0.041,0.04,0.04,0.041,0.032,0.042,0.041,0.031,0.042,0.029,0.034,0.041,0.039,0.041,0.038,0.039,0.043,0.039,0.039,0.03,0.036,0.04,0.038,
28,2,53.0,94.0,29.0,86.0,64.0,69.0,55.0,173.0,12.0,28.0,190.0,24.0,277.0,195.0,38.0,113.0,58.0,92.0,68.0,38.0,122.0,73.0,225.0,153.0,84.0,63.0,12,0.021,0.038,0.012,0.035,0.026,0.028,0.022,0.07,0.005,0.011,0.077,0.01,0.112,0.079,0.015,0.046,0.023,0.037,0.027,0.015,0.049,0.029,0.091,0.062,0.034,0.025,
28,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
